Name , Acc_No , Withdraw , Balance
johnson,1472,500.0,53000.0
carlo,9184,500.0,52000.0
carlo,9184,46000.0,4000.0
carlo,9184,1000.0,3000.0
thinu,51000,52000.0,50000
carlo,9184,40000.0,10000.0
carlo,9184,31000.0,4000.0
carlo,9184,10000.0,4000.0
carlo,9184,10000.0,4000.0
eron,2240,40000.0,10000.0
eron,2240,11000.0,10000.0
eron,2240,15000.0,10000.0
eron,2240,15000.0,10000.0
eron,2240,3000.0,7000.0
alex,3455,40000.0,10000.0
alex,3455,11000.0,10000.0
alex,3455,6000.0,4000.0
alex,3455,5000.0,4000.0
zahir,5666,45000.0,5000.0
zahir,5666,6000.0,5000.0
zahir,5666,4000.0,1000.0
zahir,5666,46000.0,4000.0
Zahir,5666,5000.0,4000.0
thii,5666,45000.0,5000.0
thinu,5666,6000.0,5000.0
thinu,5666,4000.0,1000.0
thinu,5666,2000.0,1000.0
5666,5666,4500.0,1000.0
